Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1706.2390019999998
FDW14,OUT017,1475.8788599999993
NCN55,OUT010,478.3972740000003
FDQ58,OUT017,2185.1156520000004
FDY38,OUT027,5914.987173999997
FDH56,OUT046,2107.1970779999997
FDL48,OUT018,666.1861640000002
FDC48,OUT027,2001.7942800000012
FDN33,OUT045,1597.733576
FDA36,OUT017,2562.1115860000004
FDT44,OUT017,1729.7883480000005
FDQ56,OUT045,1499.6013140000002
NCC54,OUT019,669.92796
FDU11,OUT049,2000.6823940000004
DRL59,OUT013,591.8029879999999
FDM24,OUT049,2342.0646860000006
FDI57,OUT045,3235.7813420000007
DRC12,OUT018,3344.9525679999997
NCM42,OUT027,3172.8765579999995
FDA46,OUT010,437.0977
FDA31,OUT013,3026.1209220000023
NCJ31,OUT035,3531.2833560000004
FDG52,OUT046,748.1128539999996
NCL19,OUT019,299.76313399999987
FDS10,OUT035,2981.592217999999
FDX22,OUT010,541.9212520000001
NCF19,OUT035,713.1916439999998
NCE06,OUT046,2458.4665000000005
DRC27,OUT046,3515.097757999998
FDE21,OUT035,2092.9356419999986
NCR42,OUT019,101.48789400000005
FDX51,OUT018,2784.8882660000004
NCR06,OUT018,493.85715000000033
FDU31,OUT027,5165.935541999999
FDU59,OUT017,2332.89662
FDR03,OUT027,5492.3373340000035
FDS49,OUT027,2345.606741999998
FDD48,OUT010,191.05796800000005
NCF18,OUT017,3021.167369999999
NCD43,OUT027,2515.0262100000004
NCD54,OUT018,1867.595631999999
FDY19,OUT010,279.13665
NCY54,OUT017,3013.8702019999996
NCL19,OUT018,1942.631292
FDP23,OUT010,607.7222659999998
FDC26,OUT013,2039.8780400000003
FDR14,OUT010,163.08770999999996
NCS41,OUT035,2995.8137060000004
FDF41,OUT035,3527.867802
FDU34,OUT046,1786.660984000001
DRH11,OUT046,929.849622
FDM03,OUT013,1873.934048
FDS31,OUT017,3187.5174999999995
FDJ20,OUT017,2275.950746
FDV44,OUT027,4476.120136000003
FDG02,OUT049,2924.526499999998
FDA09,OUT013,3387.7169019999997
FDT04,OUT013,539.6775059999997
FDL58,OUT019,578.81323
FDE52,OUT045,1359.889842
FDW12,OUT035,2468.4068940000016
FDL51,OUT017,3628.3969439999964
NCY42,OUT027,3020.2152760000013
FDR07,OUT017,1780.7220479999994
FDN40,OUT045,2127.3441860000003
FDB35,OUT027,2567.697648000001
FDA22,OUT017,2885.157746
NCL06,OUT046,3287.8069539999983
FDI35,OUT013,3619.941283999998
NCW42,OUT045,3914.164961999999
NCX06,OUT049,3352.9754579999994
FDC37,OUT027,2393.2314160000005
FDZ14,OUT018,1808.1929559999996
DRG49,OUT049,4230.4133040000015
NCG06,OUT045,3739.5655699999998
DRC36,OUT045,2560.0342900000014
FDV21,OUT019,386.0175239999998
FDB53,OUT046,2802.0659059999994
DRP47,OUT019,636.6978820000003
FDA14,OUT013,2132.444214
DRC24,OUT035,2631.115098000001
FDW21,OUT018,1351.3409700000002
NCH29,OUT046,1847.0823340000006
FDU58,OUT013,3029.8094539999993
FDY27,OUT017,2474.292566000001
FDV56,OUT035,1720.7268099999994
FDT59,OUT046,4442.190968000005
FDB23,OUT046,3443.091488000002
FDR49,OUT045,805.9908479999999
FDB03,OUT010,505.62849399999993
FDN39,OUT045,2976.2525019999994
FDX02,OUT027,5023.301208000001
FDQ16,OUT027,2842.9393680000007
FDU35,OUT018,1517.5179919999998
NCT29,OUT013,1698.25606
FDZ27,OUT046,771.1229020000001
FDN57,OUT017,2438.7255300000006
FDA03,OUT018,1835.9435
FDZ36,OUT045,3438.5174419999994
NCU05,OUT013,1209.0328779999998
FDT39,OUT018,1819.6447160000007
FDK60,OUT017,1855.597916
FDZ25,OUT017,2857.986448
FDG12,OUT046,2784.322336
DRB01,OUT019,481.4466380000002
NCC43,OUT027,5718.050192000001
FDX13,OUT019,613.3815660000001
FDM22,OUT049,895.5342899999997
FDJ03,OUT027,1467.050352000001
FDU14,OUT018,3755.3583459999995
FDB33,OUT010,356.55587400000024
FDP27,OUT046,3415.334285999999
FDO38,OUT010,172.94820800000002
FDE28,OUT027,6357.617672000002
FDO27,OUT035,1627.0487499999995
DRL23,OUT027,2874.484972
FDS28,OUT046,1043.0489379999997
FDX24,OUT013,1151.4611519999996
FDZ02,OUT035,1210.297898
FDL46,OUT045,1611.262632000001
