Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1693.4691
FDW14,OUT017,1376.4332
NCN55,OUT010,635.3944
FDQ58,OUT017,2503.5664
FDY38,OUT027,6090.565
FDH56,OUT046,1884.3871
FDL48,OUT018,643.9241
FDC48,OUT027,2232.9338
FDN33,OUT045,1542.1234
FDA36,OUT017,3170.39
FDT44,OUT017,1903.7646
FDQ56,OUT045,1361.0747
NCC54,OUT019,580.46686
FDU11,OUT049,2038.224
DRL59,OUT013,831.5038
FDM24,OUT049,2452.2947
FDI57,OUT045,3092.014
DRC12,OUT018,2857.7986
NCM42,OUT027,2843.7207
FDA46,OUT010,524.9929
FDA31,OUT013,2891.83
NCJ31,OUT035,3919.0444
FDG52,OUT046,816.0178
NCL19,OUT019,376.4068
FDS10,OUT035,3016.7917
FDX22,OUT010,616.5428
NCF19,OUT035,834.81726
NCE06,OUT046,2591.604
DRC27,OUT046,3904.7107
FDE21,OUT035,1920.6503
NCR42,OUT019,52.930008
FDX51,OUT018,2875.3435
NCR06,OUT018,531.46967
FDU31,OUT027,5558.3125
FDU59,OUT017,2610.982
FDR03,OUT027,5564.8804
FDS49,OUT027,2237.356
FDD48,OUT010,380.52304
NCF18,OUT017,3141.4937
NCD43,OUT027,2657.558
NCD54,OUT018,1661.4021
FDY19,OUT010,376.06674
NCY54,OUT017,2911.208
NCL19,OUT018,2172.694
FDP23,OUT010,558.8168
FDC26,OUT013,1842.4618
FDR14,OUT010,150.63263
NCS41,OUT035,3166.7664
FDF41,OUT035,4016.3184
FDU34,OUT046,2040.174
DRH11,OUT046,920.2905
FDM03,OUT013,1675.7606
FDS31,OUT017,3014.3057
FDJ20,OUT017,2059.5518
FDV44,OUT027,5185.9297
FDG02,OUT049,3188.3994
FDA09,OUT013,2948.8745
FDT04,OUT013,690.69653
FDL58,OUT019,727.25024
FDE52,OUT045,1413.3033
FDW12,OUT035,2503.5664
FDL51,OUT017,3499.7341
NCY42,OUT027,3169.2495
FDR07,OUT017,1387.4375
FDN40,OUT045,2467.3027
FDB35,OUT027,2432.5273
FDA22,OUT017,2610.982
NCL06,OUT046,3900.7744
FDI35,OUT013,3022.6865
NCW42,OUT045,3638.7263
NCX06,OUT049,3025.1313
FDC37,OUT027,2657.558
FDZ14,OUT018,1765.6852
DRG49,OUT049,3917.963
NCG06,OUT045,3817.5093
DRC36,OUT045,2896.2866
FDV21,OUT019,340.49356
FDB53,OUT046,2467.3027
DRP47,OUT019,694.5164
FDA14,OUT013,2458.8274
DRC24,OUT035,2503.5664
FDW21,OUT018,1459.7816
NCH29,OUT046,1546.5797
FDU58,OUT013,3151.012
FDY27,OUT017,2922.585
FDV56,OUT035,1699.5945
FDT59,OUT046,3876.3474
FDB23,OUT046,3665.3403
FDR49,OUT045,824.8965
FDB03,OUT010,580.46686
FDN39,OUT045,2585.1262
FDX02,OUT027,5730.0044
FDQ16,OUT027,2657.558
FDU35,OUT018,1379.2511
NCT29,OUT013,2053.2322
FDZ27,OUT046,806.9643
FDN57,OUT017,2149.452
FDA03,OUT018,2138.7314
FDZ36,OUT045,3147.3884
NCU05,OUT013,1246.698
FDT39,OUT018,2148.5588
FDK60,OUT017,1561.501
FDZ25,OUT017,2774.2505
FDG12,OUT046,2045.9827
DRB01,OUT019,524.9929
NCC43,OUT027,6068.3125
FDX13,OUT019,673.7241
FDM22,OUT049,925.8183
FDJ03,OUT027,1298.8203
FDU14,OUT018,3605.7964
FDB33,OUT010,442.17657
FDP27,OUT046,3147.3884
FDO38,OUT010,312.41406
FDE28,OUT027,6060.0107
FDO27,OUT035,1561.501
DRL23,OUT027,2657.558
FDS28,OUT046,920.2905
FDX24,OUT013,1509.7833
FDZ02,OUT035,1557.4819
FDL46,OUT045,1884.3871
FDS60,OUT027,4600.4624
NCO06,OUT017,708.60693
FDO16,OUT035,1384.9086
FDC60,OUT049,1346.0665
FDA48,OUT018,3365.846
FDZ36,OUT027,4913.653
FDK27,OUT045,2070.118
FDW23,OUT018,532.04785
FDM14,OUT018,1553.4841
FDM14,OUT013,1680.2169
FDW60,OUT018,2627.9822
FDE21,OUT013,1901.2727
NCM42,OUT035,1699.5945
FDY59,OUT010,313.44858
DRI49,OUT049,1267.8661
FDT28,OUT019,365.6015
FDQ22,OUT018,531.46967
FDR60,OUT049,1267.8661
FDC50,OUT019,322.32724
FDV24,OUT013,2467.3027
DRF48,OUT010,586.6296
FDQ47,OUT046,689.2293
DRN36,OUT049,1559.8319
