Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2003.7731
FDW14,OUT017,1990.6173
NCN55,OUT010,1696.2234
FDQ58,OUT017,2313.5593
FDY38,OUT027,3328.0608
FDH56,OUT046,2108.553
FDL48,OUT018,1734.5022
FDC48,OUT027,2214.2388
FDN33,OUT045,2001.6244
FDA36,OUT017,2419.281
FDT44,OUT017,2108.553
FDQ56,OUT045,1990.6173
NCC54,OUT019,1702.101
FDU11,OUT049,2104.8938
DRL59,OUT013,1757.5144
FDM24,OUT049,2309.3196
FDI57,OUT045,2430.4963
DRC12,OUT018,2403.9595
NCM42,OUT027,2461.0098
FDA46,OUT010,1673.1882
FDA31,OUT013,2397.5798
NCJ31,OUT035,2691.779
FDG52,OUT046,1752.0074
NCL19,OUT019,1612.8488
FDS10,OUT035,2419.281
FDX22,OUT010,1677.6582
NCF19,OUT035,1752.0074
NCE06,OUT046,2313.5593
DRC27,OUT046,2691.779
FDE21,OUT035,2108.553
NCR42,OUT019,1554.9891
FDX51,OUT018,2403.9595
NCR06,OUT018,1728.2786
FDU31,OUT027,3220.5974
FDU59,OUT017,2313.5593
FDR03,OUT027,3212.6567
FDS49,OUT027,2219.9587
FDD48,OUT010,1607.6324
NCF18,OUT017,2419.281
NCD43,OUT027,2297.3486
NCD54,OUT018,2095.645
FDY19,OUT010,1607.6324
NCY54,OUT017,2401.8196
NCL19,OUT018,2276.29
FDP23,OUT010,1677.6582
FDC26,OUT013,2003.7731
FDR14,OUT010,1575.6488
NCS41,OUT035,2413.7773
FDF41,OUT035,2691.779
FDU34,OUT046,2108.553
DRH11,OUT046,1787.6241
FDM03,OUT013,2003.7731
FDS31,OUT017,2419.281
FDJ20,OUT017,2108.553
FDV44,OUT027,3013.7256
FDG02,OUT049,2422.3403
FDA09,OUT013,2422.3403
FDT04,OUT013,1744.4043
FDL58,OUT019,1714.4059
FDE52,OUT045,1990.6173
FDW12,OUT035,2313.5593
FDL51,OUT017,2673.785
NCY42,OUT027,2481.031
FDR07,OUT017,2001.6244
FDN40,OUT045,2313.5593
FDB35,OUT027,2297.3486
FDA22,OUT017,2313.5593
NCL06,OUT046,2708.2344
FDI35,OUT013,2422.3403
NCW42,OUT045,2691.779
